absolutnie,绝对,"jué duì"
Słowacja,斯洛伐克,"sī luò fá kè"
Słowianie,斯拉夫人,sīlāfūrén
słowik,夜莺,yèyīng
słownik,词典,cídiǎn
słowo,词,cí
słuchać,听,tīng
sługa,仆人,"pú rén"
służący,仆人,púrén
sąsiad,邻居,"lín jū"
ta,这,zhè
tablica,黑板,hēibǎn
Tadeusz,塔杜施,"tǎ dù shī"
taekwondo,拳道,"quán dào"
tajemnica,秘密,mìmì
tajemniczy,神秘的,"shén mì de"
tajfun,台风,"tái fēng"
Tajlandia,泰国,"tài guó"
tak,是,shì
tak,对,duì
taksówka,出租汽车,"chū zū qì chē"
talerz,盘子,"pán zi"
talizman,护身符,"hù shēn fú"
tam,那里,nàlǐ
tam,那儿,nàr
tama,水坝,"shuǐ bà"
tancerz,跳舞者,"tiào wǔ zhě"
tańczyć,跳舞,tiàowǔ
tani,便宜的,piányìde
taniec,舞蹈,wǔdǎo
taoizm,道教,dàojiào
tapeta,糊壁纸,húbìzhǐ
tarcza,盾,dùn
targ,市集,"shì jí"
tata,爸爸,bàba
tato,爸爸,bàba
tatuaż,纹身,wénshēn
taxi,出租汽车,"chū zū qì chē"
teatr,剧院,jùyuàn
teatr,剧场,jùchǎng
technika,工艺,"gōng yì"
technologia,技术,"jì shù"
tęcza,彩虹,"cǎi hóng"
Teksas,得克萨斯,dékèsāsī
tekst,本文,"běn wén"
tekstylia,纺织品,"fǎng zhī pǐn"
telefon,电话,diànhuà
"telefon komórkowy",手机,shǒujī
teleskop,望远镜,wàngyuǎnjìng
telewizja,电视,diànshì
telewizor,电视机,diànshìjī
temat,题目,"tí mù"
ten,这个,zhè
tenis,网球,"wǎng qiú"
"tenis stołowy",乒乓球,"pīng pāng qiú"
"tenis ziemny",网球,"wǎng qiú"
Tennessee,田纳西,tiánnàxī
tępy,钝的,dùnde
teraz,现在,xiànzài
teraźniejszość,现在,"xiàn zài"
termit,白蚁,báiyĭ
terroryzm,恐怖主义,"kǒng bù zhǔ yì"
tęsknić,思念,"sī niàn"
tęsknić,想念,"xiǎng niàn"
tęsknić,渴望,"kě wàng"
tęsknić,思念,"sī niàn"
test,测试,"cè shì"
tiul,薄纱,báoshā
tlen,氧,yǎng
TNT,"黄色 炸药","huángsè zhàyào"
to,这,zhè
toaleta,盥洗室,guànxǐshì
tofu,豆腐,"dòu fu"
tolerancja,宽容,"kuān róng"
tom,册,cè
Tomasz,托马斯,tuōmǎsī
topór,斧,fǔ
torba,包,bāo
torbacz,有袋,"yǒu dài"
torebka,手提包,"shǒu tí bāo"
tornado,龙卷风,"lóng juǎn fēng"
towar,商品,"shāng pǐn"
Toyota,丰田汽车,"fēng tián qì chē"
tradycja,传统,"chuán tǒng"
tragedia,悲剧,"bēi jù"
traktor,拖拉机,"tuō lā jī"
trampolina,蹦床,"bèng chuáng"
tramwaj,电车,diànchē
transport,货运,huòyùn
trawa,草,cǎo
trawnik,草地,cǎodì
trener,教练,jiàoliàn
trening,训练,"xùn liàn"
trenować,训练,"xùn liàn"
Triada,三元组,"sān yuán zǔ"
trochę,一点儿,yìdiǎnr
trojan,特洛伊木马,"tè luò yī mù mǎ"
trójkąt,三角形,"sān jiǎo xíng"
trotyl,"黄色 炸药","huángsè zhàyào"
trucizna,毒药,"dú yào"
trudny,难,nán
truskawka,草莓,cǎoméi
truć,折磨,zhémó
trzy,三,sān
tulipan,郁金香,yùjīnxiāng
tulić,紧抱,"jǐn bào"
tunel,隧道,suìdào
Turcja,土耳其,túěrqí
turysta,游客,yóukè
turystyka,观光事业,"guān guāng shì yè"
tutaj,这里,"zhè lǐ"
tutaj,这儿,zhèr
twardy,硬的,yìngde
twarz,脸,liǎn
twierdza,要塞,"yào sài"
twój,你的,nǐde
ty,你,nǐ
Tybet,西藏,"xī zàng"
tydzień,星期,xīngqī
tygrys,虎,hǔ
tygrys,老虎,"lào hǔ"
tylko,只,zhǐ
tylko,仅仅,jǐnjǐn
tylko,仅,jǐn
tynk,灰泥,"huī nì"
tyran,暴君,"bào jūn"
tysiąc,千,qiān
tłumacz,翻译者,"fān yì zhě"
tłumaczyć,翻译,fānyì
tłumaczyć,解释,jiěshì
ubikacja,厕所,cèsuǒ
ubranie,衣服,"yī fu"
ucho,耳朵,ěrduo
uczciwość,诚实,"chéng shí"
uczciwy,诚实,chéngshí
uczelnia,学院,"xué yuàn"
uczeń,学生,xuésheng
uczeń,男学生,nánxuésheng
uczennica,女学生,nǚxuésheng
uczony,学者,"xué zhě"
uczucie,感觉,gǎnjué
uczyć,教,jiāo
"uczyć się",学习,"xué xí"
uderzenie,打击,"dǎ jī"
uderzyć,打,dǎ
ufać,信任,xìnrèn
Ukraina,乌克兰,wūkèlán
ukryty,隐藏的,"yǐn cáng de"
układanka,缕花锯,lǚhuāju
Ula,乌拉,ūlā
ulica,街道,"jiē dào"
ulica,街,jiē
ulica,路,lù
umiejętność,能力,"néng lì"
umierać,死,sì
umieć,会,huì
umowa,同意,"tóng yì"
umrzeć,死,sǐ
umysł,心,xīn
unikać,避,bì
uniwersytet,大学,dáxué
uparty,顽固的,"wán gù de"
upał,热,rè
upominek,礼物,lǐwù
Uran,天王星,"tiān wáng xīng"
urlop,假期,"jià qī"
uroda,美,měi
urodziny,生日,shēngrì
urodzić,生孩子,"shēng hái zi"
Urszula,乌尔舒拉,wūěrshūlā
urzędnik,官员,"guān yuán"
USA,美国,"měi guó"
usta,嘴,zuǐ
Utah,犹他,yóutā
uwaga,注意,"zhù yì"
uwaga,备注,"bèi zhù"
uwaga,小心,"xiǎo xīn"
uwaga,注意,"zhù yì"
uwielbiać,礼拜,lĭbài
uwierzyć,相信,"xiāng xìn"
uścisk,紧握,"jǐn wò"
uśmiech,微笑,wēixiào
używać,用,yòng
w,在,zài
"w oddali",那边的,"nàbiān de"
wachlarz,扇子,shànzi
Waga,天秤座,tiānchèngzuò
wakacje,假期,jiàqī
walczyć,战斗,"zhàn dòu"
waleczność,英勇,"yīng yǒng"
waleczny,好战的,"hào zhàn de"
Walentynki,情人节,"qíng rén jié"
walizka,手提箱,"shǒu tí xiāng"
walka,战斗,zhàndòu
waluta,货币,huòbì
wampir,吸血鬼,"xī xuè guǐ"
wanilia,香草,"xiāng cǎo"
wanna,浴缸,"yù gāng"
wapń,钙,gài
warga,唇,chún
wariat,疯子,"fēng zi"
warkocz,辫子,"biàn zi"
Warszawa,华沙,huáshā
wart,值得,"zhí dé"
Waszyngton,华盛顿,huáshèngdùn
ważka,蜻蜓,qīngtíng
ważny,重要的,"zhòng yào de"
ważny,有效的,"yǒu xiào de"
WC,盥洗室,guànxǐshì
WC,厕所,cèsuǒ
wciąż,仍然,"réng rán"
wczoraj,昨天,zuótiān
wdowa,寡妇,"guǎ fu"
wdowiec,鳏夫,"guān fū"
wędkarstwo,钓鱼,"diào yú"
wędrować,漫游,"màn yóu"
wędrować,流浪,"liú làng"
wędrowiec,流浪者,"liú làng zhe"
weekend,周末,"zhōu mò"
węgiel,煤,méi
wejście,入口,rùkǒu
wentylator,电风扇,"diàn fēng shàn"
Wenus,金星,"jīn xīng"
weranda,游廊,"yóu láng"
Weronika,维罗妮卡,wéiluóníkǎ
wesele,婚礼,"hūn lǐ"
wesoły,高兴的,"gāo xìng de"
wesz,虱,shī
weterynarz,兽医,"shòu yī"
wełna,羊毛,yángmáo
wiadomość,新闻,"xīn wén"
wiadro,水桶,shuǐtǒng
wiara,信心,xìnxīn
wiatr,风,fēng
wiatrak,风车,"fēng chē"
widelec,叉,chǎ
widokówka,明信片,"míng xìn piàn"
widzieć,看见,"kàn jiàn"
widły,干草叉,"gān cǎo cha"
więc,所以,"suǒ yǐ"
wieczność,永恒,yǒnghéng
wieczny,永恒,"yǒng héng"
wieczór,晚上,wǎnshang
wiedza,了解,liǎojiě
wiedza,智慧,zhìhuì
wiedzieć,知道,zhīdào
wiejski,农村的,"nóng cūn de"
wiek,世纪,"shì jì"
wiek,年龄,"nián líng"
wielbłąd,骆驼,luòtuo
"Wielka Brytania",英国,yīngguó
Wielkanoc,复活节,fùhuójié
wielki,伟大,wěidà
"Wielki Mur",长城,"cháng chéng"
wieloryb,鲸鱼,jīngyú
wieniec,花圈,huāquān
wieprzowina,猪肉,"zhū ròu"
wierność,忠实,"zhōng shí"
wierny,忠实,zhōngshí
wiersz,诗,shī
wiertarka,钻机,zuànjī
wierzba,柳树,liŭshù
wierzyć,相信,"xiāng xìn"
Wietnam,越南,"yuè nán"
wiewiórka,松鼠,"sōng shǔ"
więzienie,监狱,jiānyù
wieś,农村,nóngcūn
wieś,乡村,xiāngcūn
wieśniak,农民,nóngmín
"więźba dachowa",梁,liáng
Wigilia,圣诞节前夕,shèngdànjiéqiánxī
wigilia,前夕,qiánxī
Wiktor,维克多,wéikèduō
Wiktoria,维多利亚,"wéi duō lì yà"
wilk,狼,láng
winda,电梯,diàntī
wino,葡萄酒,pútáojiǔ
winogrono,葡萄,pútao
wiolonczela,大提琴,"dà tí qín"
wioska,村庄,"cūn zhuāng"
wiosna,春天,chūntiān
wiosło,桨,jiǎng
wir,回旋,"huí xuán"
wirnik,转子,"zhuàn zi"
wirus,病毒,bìngdú
Wisła,维斯瓦河,"wéi sī wǎ hé"
witalność,生命力,shēngmìnglì
witamina,维生素,"wéi shēng sù"
witać,欢迎,huānyíng
"witryna sklepowa",橱窗,chúchuāng
wiwern,双足飞龙,"shuāng zú fēi lóng"
wiśnia,樱桃,yīngtao
wkręt,螺钉,luódīng
wnuczka,孙女,sūnnǚ
wnuk,孙子,sūnzǐ
woda,水,shuǐ
wódka,伏特加,fútèjiā
Wodnik,水瓶座,shuípíngzuò
wodospad,瀑布,"pù bù"
wojna,战争,zhànzhēng
wojownik,战士,zhànshì
wojsko,陆军,"lù jūn"
Wojtek,沃伊泰克,wòyītàike
wolność,自由,zìyóu
wolny,慢,màn
worek,袋子,"dài zi"
wóz,马车,"mǎ chē"
wół,公牛,"gōng niú"
wołowina,牛肉,"niú ròu"
wpłata,贡献,"gòng xiàn"
wrażliwy,敏感,mǐngǎn
wręczać,交给,"jiāo gěi"
wróbel,麻雀,"má què"
Wrocław,乌罗茨瓦夫,"wū luó cī wǎ fū"
wróg,敌人,dírén
wrona,乌鸦,"wū yā"
wrota,大门,"dà mén"
wrzesień,九月,jiǔyuè
wrzeszczeć,叫喊,"jiào hăn"
wrzeszczeć,叫嚷,"jiào răng"
wrzeć,沸腾,fèiténg
wschód,东,dōng
wschód,日出,"rì chū"
"wschód słońca",日出,"rì chū"
wschodni,东边,dōngbiān
wschodni,东方,dōngfāng
wschodni,东部,dōngbù
wspaniałomyślność,慷慨,"kāng kǎi"
wspaniały,壮丽的,"zhuàng lì de"
wspomnienie,回想,"huí xiǎng"
współsprawca,帮凶,"bāng xiōng"
wstawać,起来,"qǐ lái"
wszechświat,宇宙,yǔzhòu
wszystko,每件事,"měi jiàn shì"
wtorek,星期二,xīngqīèr
wujek,叔叔,shūshu
wujek,叔叔,shūshu
wujek,伯伯,bóbo
wujek,舅舅,jiùjiu
wujek,伯伯,bóbo
wulkan,火山,"huǒ shān"
wy,你们,nǐmen
wybory,选举,xuǎnjǔ
wycieczka,远足,"yuǎn zú"
wydra,水獭,"shǔi tǎ"
wygrać,胜利,shènglì
wygrać,赢,yíng
wyjście,出口,chūkǒu
wyjątkowy,例外的,lìwàide
wykręcać,拧,níng
wykład,讲课,"jiǎng kè"
wynalazca,发明家,"fā míng jiā"
wynalazek,发明,"fā míng"
wyobraźnia,想象,"xiǎng xiàng"
Wyoming,怀俄明,huái`émíng
wypadek,事故,shìgù
wyprzedaż,拍卖,"pāi mài"
wyraz,词,cí
"wyrostek robaczkowy",盲肠,"máng cháng"
"wyrostek robaczkowy",阑尾,"lán wěi"
wyrzucać,扔掉,"rēng diào"
wyrzucić,扔掉,"rēng diào"
wysiłek,努力,"nǔ lì"
wysoki,高的,gāode
wyspa,岛,dǎo
wysyłać,送给,"sòng gěi"
wysłać,送给,"sòng gěi"
wytrawny,干的,"gān de"
wytrzymać,忍受,"rěn shòu"
wyzwolenie,解放,"jiě fàng"
wyzwolić,解放,"jiě fàng"
wyć,叫喊,"jiào hăn"
wyć,叫嚷,"jiào răng"
wyżymaczka,绞衣机,jiăoyījī
wziąć,拿,ná
wścieklizna,狂犬病,"kuáng quǎn bìng"
wściekły,狂怒的,"kuáng nù de"
władca,统治者,"tǒng zhì zhě"
władza,权力,"quán lì"
Włochy,意大利,yìdàlì
włóczęga,流浪汉,"liú làng hàn"
włócznia,矛,máo
włos,毛,máo
włos,头发,tóufa
włosy,头发,tóufa
wąski,狭窄的,xiázhǎide
wątpienie,怀疑,huáiyí
wątroba,肝脏,gānzàng
wątroba,肝,gān
wąż,蛇,shé
z,跟,gēn
z,从,cóng
zabawa,游玩,"yóu wán"
zabawka,玩具,"wán jù"
zabijać,杀,shā
zabić,杀,shā
zachęcać,鼓励,"gǔ lì"
zachód,西,xī
zachód,日落,"rì luò"
"zachód słońca",日落,"rì luò"
zachodni,西边,xībiān
zachodni,西部,xībù
zachodni,西方,xīfāng
zaczepiać,搭讪,"dā shàn"
zagadka,谜,mí
zajęty,忙,máng
zając,兔子,"tù zi"
zając,野兔,"yě tù"
zakochany,相爱,"xiàng ài"
Zakopane,扎科帕内,"zā kē pà nèi"
zakręt,弯曲,"wān qū"
zakłopotany,尴尬,"gān gà"
zaliczka,现金垫款,"xiàn jīn diàn kuǎn"
zamarznięty,冰冻的,"bīng dòng de"
zamek,城堡,chéngbǎo
zamek,锁,suǒ
"zamek błyskawiczny",尖啸声,jiānxiàoshēng
zamiana,更换,"gēng huàn"
zamienić,换,huàn
zamiłowanie,兴趣,"xìng qù"
zamknięty,近,jìn
zamówienie,定单,dìngdān
zamrażać,冻结,"dòng jié"
zamykać,关,guān
zamyślony,沉思,"chén sī"
zapalniczka,打火机,"dǎ huǒ jī"
zapasy,摔跤,shuāijiāo
zapał,兴趣,"xìng qù"
zapał,乐趣,"lè qù"
zapałka,火柴,"huǒ chái"
zapomnieć,忘记,wàngjì
zapora,水坝,"shuǐ bà"
zapora,鹿柴,"lù chái"
zapraszać,邀请,"yāo qǐng"
zaprosić,邀请,yāoqǐng
zaprosić,邀请,"yāo qǐng"
zaproszenie,邀请,"yāo qǐng"
zapłacić,支付,"zhī fù"
zaraz,立刻,lìkè
zaraz,马上,mǎshàng
zaraz,立即,lìjí
zasada,碱,jiǎn
zasadzka,埋伏,"mái fu"
zaskoczenie,震动,"zhèn dòng"
zaskoczyć,使惊奇,"shǐ jīng qí"
"zasmucać się",悲哀,bēiāi
zastępca,代替者,"dài tì zhě"
zastrzyk,注射,"zhù shè"
zatrudniony,雇员,"gù yuán"
zaufanie,信任,xìnrèn
zaufanie,信赖,"xìn lài"
zawód,职业,"zhí yè"
zawór,阀门,"fá mén"
zawstydzony,窘迫,"jiǒng pò"
zawsze,总是,zǒngshì
zazdrosny,嫉妒的,jídùde
zazdrość,妒忌,dùjì
zaćmienie,日食,"rì shí"
"zaćmienie księżyca",月食,"yué shí"
"zaćmienie słońca",日食,"rì shí"
załamany,沮丧的,"jǔ sàng de"
załoga,全体船员,"quán tǐ chuán yuán"
zbierać,聚集,"jù jí"
zbrodnia,重罪,"zhòng zuì"
zbroja,甲胄,"jiǎ zhòu"
zbyt,太,tài
zdarzenie,事件,"shì jiàn"
zdenerwowany,急躁的,jízàode
zdjęcie,照片,zhàopiàn
zdolny,能干,"néng gàn"
zdrada,背叛,"bèi pàn"
zdrowie,健康,jiànkāng
zdrowy,健康的,jiànkāngde
zdyszany,气喘的,qìchuǎnde
zdziwiony,惊奇的,jīngqíde
zdziwiony,惊讶的,jīngyàde
zebra,斑马线,bānmǎxiàn
zebranie,会议,huìyì
zebranie,开会,kāihuì
zegar,时钟,"shí zhōng"
zegarek,手表,"shóu biǎo"
zemsta,报仇,"bào chóu"
zepsuty,坏了的,huàilede
zero,零,líng
zespół,音乐队,yīnyuèduì
zeszyt,本子,běnzi
zezowaty,斜眼的,xiéyǎnde
"zgadzać się",同意,tóngyì
zgoda,同意,"tóng yì"
zgrabny,匀称的,yúnchènde
zgrabny,和谐的,héxiéde
zgrabny,灵巧的,língqiǎode
zielony,绿色,lǜsè
ziemia,土,tǔ
ziemia,地,dì
Ziemia,地球,"dì qiú"
ziemniak,土豆,tǔdòu
ziewać,打呵欠,"dǎ hā qian"
zięć,"女婿 ","nǚ xu"
zima,冬天,dōngtiān
zimny,冷的,lěngde
zlew,水槽,"shǔi cáo"
zmarnować,浪费,làngfèi
zmarszczka,皱纹,zhòuwén
zmartwiony,忧愁的,yōuchóude
zmarznięty,结冰的,"jié bīng de"
zmęczony,累,lèi
zmęczony,劳累,láolèi
zmęczony,疲劳的,píláode
zmiana,变化,"biàn huà"
"zmniejszyć się",减少,"jiǎn shǎo"
znaczek,邮票,"yóu piào"
"znaczek pocztowy",邮票,"yóu piào"
znajoma,熟人,shúrén
znajomości,关系,"guān xì"
znajomy,熟人,shúrén
znajomy,熟悉,shúxí
znajomy,认识的,rènshíde
znak,记号,jìhào
znakomity,优秀的,yǒuxiùde
znaleźć,找到,"zhǎo dào"
znany,有名的,yǒumíngde
znać,认识,"rèn shi"
znieczulenie,麻醉,"má zuì"
znów,再,zài
znowu,再,zài
znudzony,寂寞的,jìmòde
zobaczyć,看见,"kàn jiàn"
"zorza polarna",极光,"jí guāng"
zostawić,离开,"lí kāi"
zrobić,做,zuò
zszywacz,订书机,dìngshūjī
zupa,汤,tāng
Zuzanna,苏珊,sūshān
zwierciadło,镜子,"jìng zi"
zwierzę,动物,"dòng wù"
zwój,卷轴,"juàn zhóu"
zwycięstwo,胜利,shènglì
zwycięzca,获胜者,"huò shèng zhe"
zygzak,之字形,zhīzìxíng
zło,邪恶,xiéè
złodziej,小偷,"xiǎo tōu"
złom,废金属,"fèi jīn shǔ"
złoto,金,jīn
złoty,金色,"jīn sè"
złoty,兹罗提,"zī luō tí"
złośliwy,凶狠的,xiōnghěnde
złośliwy,恶毒的,èdúde
złośliwy,不怀好意的,"bù huái hǎo yì de"
złość,忿怒,"fèn nù"
zły,恶,è
ząb,牙齿,"yá chǐ"
ćma,蛾子,"é zi"
ćwiczyć,练习,"liàn xí"
Śląsk,西里西亚,"xī lǐ xī yà"
"Święta Bożego Narodzenia",圣诞节,shèngdànjié
"Święty Mikołaj",圣诞老人,shèngdànlǎorén
ściana,墙,qiáng
ścisły,精密,"jīng mì"
ściągać,下载,"xià zài"
ślad,脚印,"jiǎo yìn"
śliczny,可爱,"kě ài"
ślimak,蜗牛,wōniú
śliwa,梅树,méishù
śliwka,李子,lǐzi
ślub,婚礼,"hūn lǐ"
"śmiać się",笑,xiào
śmiech,笑,xiào
śmieci,垃圾,"lā jī"
śmierdzący,臊,sāo
śmierć,死亡,"sǐ wáng"
śmierć,死,sǐ
śmieszny,滑稽的,"huá jī de"
śmietana,奶油,nǎiyóu
śmietnik,垃圾桶,"lā jī tǒng"
śmieć,垃圾,"lā jī"
śmigłowiec,直升机,"zhí shēng jī"
śniadanie,早饭,"zǎo fàn"
śnieg,雪,xuě
śnić,做梦,"zuò mèng"
śpiewak,歌手,"gē shǒu"
śpiewać,唱歌,"chàng gē"
śpiewać,唱,chàng
śpioch,贪睡者,"tān shuì zhe"
średnica,直径,"zhí jìng"
środa,星期三,xīngqīsān
środek,中间,"zhōng jiān"
śruba,螺丝,luósī
śrubokręt,螺丝起子,"luó sī qǐ zi"
świadectwo,证书,"zhèng shū"
świat,世界,"shì jiè"
światynia,寺庙,"sì miào"
światło,灯,dēng
światło,光,guāng
światłowód,光导纤维,"guāng dǎo xiān wēi"
świeca,蜡烛,"là zhú"
świerk,云杉,yúnshān
świerszcz,蟋蟀,xīshuài
świetlny,光亮的,guāngliàngde
święto,节日,jiérì
święty,神圣的,"shén shèng de"
świeży,新鲜的,xīnxiānde
świnia,猪,zhū
świnka,腮腺炎,"sāi xiàn yán"
"świnka morska",豚鼠,"tún shǔ"
świt,破晓,"pò xiǎo"
źródło,来源,"lái yuán"
Łódź,罗兹,"luō zī"
Łódź,罗兹,"luó cí"
Łukasz,乌卡士,"wū kǎ shì"
łabędź,天鹅,tiāné
łabądź,天鹅,"tiān é"
ładny,好看,hǎokàn
ładny,美丽的,měilìde
łamać,打破,"dǎ pò"
łańcuch,连锁,"lián suǒ"
łańcuch,链,liàn
łasica,黄鼠狼,"huáng shǔ láng"
łaska,宽恕,"kuān shù"
łatwy,容易,róngyì
ławka,长凳,chángdèng
łazienka,卫生间,wèishēngjiān
łódź,船,chuán
"łódź podwodna",潜水艇,qiǎnshuǐtǐng
łopatki,肩胛骨,jiānjiăgŭ
łosoś,鲑鱼,guīyú
łowca,猎人,"liè rén"
łoś,麋,mí
łóżko,床,chuáng
łuk,弓,gōng
łysy,秃,tū
łysy,秃头,tūtóu
łyżka,勺子,"sháo zi"
łza,眼泪,"yǎn lèi"
łączny,联合的,"lián hé de"
łąka,草地,"cǎo dì"
żaba,青蛙,qīngwā
żagiel,帆船,"fān chuán"
żal,悲伤,bēishāng
żart,玩笑,wánxiào
żart,笑话,xiàohuà
żałosny,可悲,"kě bēi"
żebro,肋骨,"lèi gǔ"
żegnać,告别,"gào bié"
żeńszeń,人参,rénshēn
żona,妻子,qīzi
żona,妻,qī
żona,夫人,fūren
żona,太太,tàitai
żona,老婆,lǎopó
żorżeta,透明纱,tòumíngshā
żołnierz,士兵,shìbīng
"żółta chryzantema",黄花儿,huánghuār
żółtaczka,黄病,huángbìng
"żółte wino z Shaoxing",黄酒,huángjiǔ
żółtko,蛋黄,"dàn huáng"
żółty,黄色,huángsè
żółw,海龟,hǎiguī
żółw,乌龟,wūguī
żółw,河龟,héguī
żołądek,胃,wèi
żuraw,鹤,hè
życie,生活,shēnghuó
życzenie,希望,"xī wàng"
życzliwy,好意的,hǎoyìde
żyrafa,长颈鹿,chángjǐnglù
żyto,黑麦,"hēi mài"
żywica,树脂,"shù zhī"
żyć,活,huó
żyła,静脉,jìngmài
żłobek,托儿所,"tuō ér suǒ"
